thisRowDuration,keyResponse,keyResponseCorrect,letter,nBackType,reactionTime,participant,session,date
4.446508042048663,,1.0,E,1.0,,204,brown,2023-11-19_19h47.03.055
6.520794208045118,,1.0,C,1.0,,204,brown,2023-11-19_19h47.03.055
8.61489112500567,['space'],1.0,C,1.0,0.5757927499944344,204,brown,2023-11-19_19h47.03.055
10.707223500008697,,1.0,H,1.0,,204,brown,2023-11-19_19h47.03.055
12.79824054200435,,1.0,I,1.0,,204,brown,2023-11-19_19h47.03.055
14.877649375004694,['space'],1.0,I,1.0,0.5129700420075096,204,brown,2023-11-19_19h47.03.055
16.966323375003412,,1.0,D,1.0,,204,brown,2023-11-19_19h47.03.055
19.06100929202512,,1.0,A,1.0,,204,brown,2023-11-19_19h47.03.055
21.14546229201369,,1.0,V,1.0,,204,brown,2023-11-19_19h47.03.055
23.232054250023797,['space'],1.0,V,1.0,0.5128339999937452,204,brown,2023-11-19_19h47.03.055
25.315774083021097,['space'],1.0,V,1.0,0.48790033301338553,204,brown,2023-11-19_19h47.03.055
27.411166792036965,,1.0,X,1.0,,204,brown,2023-11-19_19h47.03.055
30.52616579202004,,1.0,X,1.0,,204,brown,2023-11-19_19h47.03.055
32.607178000034764,['space'],1.0,X,1.0,0.4887895839638077,204,brown,2023-11-19_19h47.03.055
34.70707508304622,,1.0,G,1.0,,204,brown,2023-11-19_19h47.03.055
36.8019795420114,,1.0,Y,1.0,,204,brown,2023-11-19_19h47.03.055
38.89458725001896,['space'],1.0,Y,1.0,0.7201243749586865,204,brown,2023-11-19_19h47.03.055
40.981878708000295,,1.0,T,1.0,,204,brown,2023-11-19_19h47.03.055
43.07725991704501,['space'],1.0,T,1.0,0.47058745799586177,204,brown,2023-11-19_19h47.03.055
45.16741608304437,,1.0,G,1.0,,204,brown,2023-11-19_19h47.03.055
47.265364499995485,,1.0,O,1.0,,204,brown,2023-11-19_19h47.03.055
49.34888612502255,,1.0,W,1.0,,204,brown,2023-11-19_19h47.03.055
51.43288212502375,,1.0,B,1.0,,204,brown,2023-11-19_19h47.03.055
53.51635216700379,,1.0,S,1.0,,204,brown,2023-11-19_19h47.03.055
56.81384195800638,,1.0,S,2.0,,204,brown,2023-11-19_19h47.03.055
58.90468833304476,,1.0,G,2.0,,204,brown,2023-11-19_19h47.03.055
60.99697825004114,,1.0,O,2.0,,204,brown,2023-11-19_19h47.03.055
63.084567708021495,['space'],1.0,G,2.0,1.4483396669966169,204,brown,2023-11-19_19h47.03.055
65.1678250420373,['space'],1.0,O,2.0,1.0883200410171412,204,brown,2023-11-19_19h47.03.055
67.25513979204698,,1.0,E,2.0,,204,brown,2023-11-19_19h47.03.055
69.34225733304629,['space'],1.0,O,2.0,0.9893958329921588,204,brown,2023-11-19_19h47.03.055
71.42520350002451,,1.0,Y,2.0,,204,brown,2023-11-19_19h47.03.055
73.50872395804618,,1.0,V,2.0,,204,brown,2023-11-19_19h47.03.055
75.60062016703887,,1.0,W,2.0,,204,brown,2023-11-19_19h47.03.055
77.68502304202411,,1.0,L,2.0,,204,brown,2023-11-19_19h47.03.055
79.77723629202228,,1.0,T,2.0,,204,brown,2023-11-19_19h47.03.055
82.92417316703359,,1.0,X,2.0,,204,brown,2023-11-19_19h47.03.055
85.00503654201748,,1.0,T,2.0,,204,brown,2023-11-19_19h47.03.055
87.0912520000129,,1.0,Z,2.0,,204,brown,2023-11-19_19h47.03.055
89.17971345799742,['space'],1.0,T,2.0,0.5782098750350997,204,brown,2023-11-19_19h47.03.055
91.27646883303532,['space'],1.0,Z,2.0,0.8771477919653989,204,brown,2023-11-19_19h47.03.055
93.36903649999294,,1.0,L,2.0,,204,brown,2023-11-19_19h47.03.055
95.45067595801083,,1.0,T,2.0,,204,brown,2023-11-19_19h47.03.055
97.55766608304113,['space'],1.0,L,2.0,0.7793751250137575,204,brown,2023-11-19_19h47.03.055
99.64398462499958,,1.0,A,2.0,,204,brown,2023-11-19_19h47.03.055
101.72549100004836,,1.0,S,2.0,,204,brown,2023-11-19_19h47.03.055
103.81450058304472,['space'],1.0,A,2.0,0.9314614160102792,204,brown,2023-11-19_19h47.03.055
105.90491966699484,,1.0,Z,2.0,,204,brown,2023-11-19_19h47.03.055
109.3702015420422,,1.0,V,1.0,,204,brown,2023-11-19_19h47.03.055
111.46459912502904,,1.0,M,1.0,,204,brown,2023-11-19_19h47.03.055
113.54846891702618,,1.0,U,1.0,,204,brown,2023-11-19_19h47.03.055
115.63616425002692,['space'],1.0,U,1.0,0.6256608340190724,204,brown,2023-11-19_19h47.03.055
117.72201879200291,,1.0,A,1.0,,204,brown,2023-11-19_19h47.03.055
119.81190995802172,,1.0,J,1.0,,204,brown,2023-11-19_19h47.03.055
121.89468770800158,['space'],1.0,J,1.0,0.5469286250299774,204,brown,2023-11-19_19h47.03.055
123.97988216701197,,1.0,B,1.0,,204,brown,2023-11-19_19h47.03.055
126.07163020799636,,1.0,U,1.0,,204,brown,2023-11-19_19h47.03.055
128.1541268750443,['space'],1.0,U,1.0,0.6823275000206195,204,brown,2023-11-19_19h47.03.055
130.2448695829953,,1.0,R,1.0,,204,brown,2023-11-19_19h47.03.055
132.33570829202654,['space'],1.0,R,1.0,0.55708408303326,204,brown,2023-11-19_19h47.03.055
135.20400566700846,,1.0,G,1.0,,204,brown,2023-11-19_19h47.03.055
137.28788095799973,,1.0,A,1.0,,204,brown,2023-11-19_19h47.03.055
139.38216670800466,['space'],1.0,A,1.0,0.5748302080319263,204,brown,2023-11-19_19h47.03.055
141.4741447500419,['space'],1.0,A,1.0,0.9247389999800362,204,brown,2023-11-19_19h47.03.055
143.5784979170421,,1.0,R,1.0,,204,brown,2023-11-19_19h47.03.055
145.66492333303904,,1.0,C,1.0,,204,brown,2023-11-19_19h47.03.055
147.74821554200025,['space'],1.0,C,1.0,0.6768654999905266,204,brown,2023-11-19_19h47.03.055
149.83444962505018,,1.0,J,1.0,,204,brown,2023-11-19_19h47.03.055
151.91729833302088,,1.0,C,1.0,,204,brown,2023-11-19_19h47.03.055
154.0039778330247,,1.0,K,1.0,,204,brown,2023-11-19_19h47.03.055
156.08805416704854,,1.0,A,1.0,,204,brown,2023-11-19_19h47.03.055
158.1716957919998,,1.0,R,1.0,,204,brown,2023-11-19_19h47.03.055
161.17952216701815,,1.0,B,2.0,,204,brown,2023-11-19_19h47.03.055
163.26358954200987,,1.0,V,2.0,,204,brown,2023-11-19_19h47.03.055
165.34667929203715,['space'],1.0,B,2.0,0.6488749159616418,204,brown,2023-11-19_19h47.03.055
167.44245054200292,,1.0,O,2.0,,204,brown,2023-11-19_19h47.03.055
169.53581245802343,['space'],1.0,B,2.0,0.7471667909994721,204,brown,2023-11-19_19h47.03.055
171.6249180000159,,1.0,Y,2.0,,204,brown,2023-11-19_19h47.03.055
173.70032658299897,,1.0,H,2.0,,204,brown,2023-11-19_19h47.03.055
175.7956622079946,,1.0,Q,2.0,,204,brown,2023-11-19_19h47.03.055
177.8857150830445,['space'],1.0,H,2.0,0.747996374964714,204,brown,2023-11-19_19h47.03.055
179.97331133304397,,1.0,K,2.0,,204,brown,2023-11-19_19h47.03.055
182.05080733302748,['space'],1.0,H,2.0,1.1172615409595892,204,brown,2023-11-19_19h47.03.055
184.1383242920274,,1.0,B,2.0,,204,brown,2023-11-19_19h47.03.055
186.9821403750102,,1.0,H,2.0,,204,brown,2023-11-19_19h47.03.055
189.07574008300435,,1.0,B,2.0,,204,brown,2023-11-19_19h47.03.055
191.15876795799704,['space'],1.0,H,2.0,0.5149029999738559,204,brown,2023-11-19_19h47.03.055
193.24266466702105,,1.0,Q,2.0,,204,brown,2023-11-19_19h47.03.055
195.3297577080084,['space'],1.0,H,2.0,1.3987785000354052,204,brown,2023-11-19_19h47.03.055
197.41392070800063,,1.0,J,2.0,,204,brown,2023-11-19_19h47.03.055
199.49621762504103,,0.0,H,2.0,,204,brown,2023-11-19_19h47.03.055
201.58811495802365,,1.0,T,2.0,,204,brown,2023-11-19_19h47.03.055
203.67135708301797,,1.0,D,2.0,,204,brown,2023-11-19_19h47.03.055
205.75466983299705,['space'],1.0,T,2.0,0.5517889999900945,204,brown,2023-11-19_19h47.03.055
207.8508130420232,['space'],1.0,D,2.0,1.4057961250073276,204,brown,2023-11-19_19h47.03.055
209.9440172080067,,0.0,T,2.0,,204,brown,2023-11-19_19h47.03.055
2.776205750007648,,1.0,P,2.0,,201,silence,2023-11-18_18h18.42.046
4.857285209000111,,1.0,V,2.0,,201,silence,2023-11-18_18h18.42.046
6.948466999980155,['space'],1.0,P,2.0,0.7369027080130763,201,silence,2023-11-18_18h18.42.046
9.024983250012156,,1.0,T,2.0,,201,silence,2023-11-18_18h18.42.046
11.110197166970464,['space'],1.0,P,2.0,0.4428003750508651,201,silence,2023-11-18_18h18.42.046
13.207824874960352,,1.0,L,2.0,,201,silence,2023-11-18_18h18.42.046
15.30054729199037,['space'],1.0,P,2.0,0.6161457499838434,201,silence,2023-11-18_18h18.42.046
17.38642912497744,,1.0,M,2.0,,201,silence,2023-11-18_18h18.42.046
19.467901624972,,1.0,V,2.0,,201,silence,2023-11-18_18h18.42.046
21.55506395897828,,1.0,E,2.0,,201,silence,2023-11-18_18h18.42.046
23.647121709014755,['space'],1.0,V,2.0,1.449374791001901,201,silence,2023-11-18_18h18.42.046
25.73885208397405,,0.0,E,2.0,,201,silence,2023-11-18_18h18.42.046
28.417807458958123,,1.0,C,1.0,,201,silence,2023-11-18_18h18.42.046
30.49927216698416,,1.0,K,1.0,,201,silence,2023-11-18_18h18.42.046
32.58083624998108,,1.0,M,1.0,,201,silence,2023-11-18_18h18.42.046
34.675724208995234,['space'],1.0,M,1.0,0.6610778330359608,201,silence,2023-11-18_18h18.42.046
36.76967750000768,,1.0,N,1.0,,201,silence,2023-11-18_18h18.42.046
38.84945879201405,['space'],1.0,N,1.0,1.2682412920403294,201,silence,2023-11-18_18h18.42.046
40.93323454196798,['space'],1.0,N,1.0,0.8080511660082266,201,silence,2023-11-18_18h18.42.046
43.03268624999328,,1.0,Q,1.0,,201,silence,2023-11-18_18h18.42.046
45.12344758398831,,1.0,T,1.0,,201,silence,2023-11-18_18h18.42.046
47.21004674996948,,1.0,G,1.0,,201,silence,2023-11-18_18h18.42.046
49.29515687498497,,1.0,X,1.0,,201,silence,2023-11-18_18h18.42.046
51.37940958398394,,1.0,O,1.0,,201,silence,2023-11-18_18h18.42.046
53.936039124964736,,1.0,O,2.0,,201,silence,2023-11-18_18h18.42.046
56.0201892919722,,1.0,A,2.0,,201,silence,2023-11-18_18h18.42.046
58.10107512498507,['space'],1.0,O,2.0,0.46747033298015594,201,silence,2023-11-18_18h18.42.046
60.19102904200554,,1.0,Y,2.0,,201,silence,2023-11-18_18h18.42.046
62.27602733398089,,1.0,C,2.0,,201,silence,2023-11-18_18h18.42.046
64.36341745901154,['space'],1.0,Y,2.0,1.111162334040273,201,silence,2023-11-18_18h18.42.046
66.44697549997363,['space'],1.0,C,2.0,0.4786966670071706,201,silence,2023-11-18_18h18.42.046
68.54234845901374,,1.0,I,2.0,,201,silence,2023-11-18_18h18.42.046
70.63396808400284,,1.0,T,2.0,,201,silence,2023-11-18_18h18.42.046
72.72770749998745,,1.0,E,2.0,,201,silence,2023-11-18_18h18.42.046
74.80938074999722,['space'],1.0,T,2.0,0.5975624159909785,201,silence,2023-11-18_18h18.42.046
76.90131504199235,,1.0,A,2.0,,201,silence,2023-11-18_18h18.42.046
79.42988291697111,,1.0,H,1.0,,201,silence,2023-11-18_18h18.42.046
81.51224770897534,['space'],1.0,H,1.0,0.49189212499186397,201,silence,2023-11-18_18h18.42.046
83.60764762497274,,1.0,Z,1.0,,201,silence,2023-11-18_18h18.42.046
85.69905254198238,,1.0,S,1.0,,201,silence,2023-11-18_18h18.42.046
87.79554158396786,,1.0,B,1.0,,201,silence,2023-11-18_18h18.42.046
89.88447954197181,,1.0,P,1.0,,201,silence,2023-11-18_18h18.42.046
91.97026375000132,,1.0,W,1.0,,201,silence,2023-11-18_18h18.42.046
94.05789854197064,,0.0,W,1.0,,201,silence,2023-11-18_18h18.42.046
96.15600899996934,,1.0,F,1.0,,201,silence,2023-11-18_18h18.42.046
98.2485728340107,,0.0,F,1.0,,201,silence,2023-11-18_18h18.42.046
100.32529866701223,['space'],1.0,F,1.0,0.8665534579777159,201,silence,2023-11-18_18h18.42.046
102.41559662501096,,1.0,U,1.0,,201,silence,2023-11-18_18h18.42.046
105.028372959001,,1.0,Y,2.0,,201,silence,2023-11-18_18h18.42.046
107.11963120900327,,1.0,Z,2.0,,201,silence,2023-11-18_18h18.42.046
109.19683495897334,,0.0,Y,2.0,,201,silence,2023-11-18_18h18.42.046
111.2848321669735,,1.0,K,2.0,,201,silence,2023-11-18_18h18.42.046
113.3764858749928,,1.0,U,2.0,,201,silence,2023-11-18_18h18.42.046
115.463362917013,,1.0,G,2.0,,201,silence,2023-11-18_18h18.42.046
117.55503191699972,,1.0,C,2.0,,201,silence,2023-11-18_18h18.42.046
119.64149591699244,,1.0,D,2.0,,201,silence,2023-11-18_18h18.42.046
121.72183649998624,,1.0,G,2.0,,201,silence,2023-11-18_18h18.42.046
123.80776983400574,,1.0,G,2.0,,201,silence,2023-11-18_18h18.42.046
125.90311429201392,,1.0,S,2.0,,201,silence,2023-11-18_18h18.42.046
127.98374845896616,['space'],1.0,G,2.0,0.9000629580114037,201,silence,2023-11-18_18h18.42.046
130.86365762498465,,1.0,S,1.0,,201,silence,2023-11-18_18h18.42.046
132.95598316699034,,1.0,E,1.0,,201,silence,2023-11-18_18h18.42.046
135.04719520901563,,1.0,X,1.0,,201,silence,2023-11-18_18h18.42.046
137.14298287499696,,1.0,K,1.0,,201,silence,2023-11-18_18h18.42.046
139.23267595900688,['space'],1.0,K,1.0,0.557423459016718,201,silence,2023-11-18_18h18.42.046
141.3252144589787,['space'],1.0,K,1.0,0.6316855829791166,201,silence,2023-11-18_18h18.42.046
143.419684374996,['space'],1.0,K,1.0,0.44573224999476224,201,silence,2023-11-18_18h18.42.046
145.50593470898457,,1.0,U,1.0,,201,silence,2023-11-18_18h18.42.046
147.59873529197648,['space'],1.0,U,1.0,0.7922785410191864,201,silence,2023-11-18_18h18.42.046
149.68080808396917,,1.0,F,1.0,,201,silence,2023-11-18_18h18.42.046
151.7700794590055,['space'],1.0,F,1.0,0.6384730419958942,201,silence,2023-11-18_18h18.42.046
153.86364512500586,,1.0,S,1.0,,201,silence,2023-11-18_18h18.42.046
156.41629654198186,,1.0,A,1.0,,201,silence,2023-11-18_18h18.42.046
158.50341491698055,,0.0,A,1.0,,201,silence,2023-11-18_18h18.42.046
160.5888797499938,,1.0,Q,1.0,,201,silence,2023-11-18_18h18.42.046
162.684557917004,,1.0,I,1.0,,201,silence,2023-11-18_18h18.42.046
164.77458437497262,['space'],1.0,I,1.0,0.5470817920286208,201,silence,2023-11-18_18h18.42.046
166.858306500013,,0.0,I,1.0,,201,silence,2023-11-18_18h18.42.046
168.94657470897073,,1.0,R,1.0,,201,silence,2023-11-18_18h18.42.046
171.03924787498545,,1.0,Y,1.0,,201,silence,2023-11-18_18h18.42.046
173.13232520897873,['space'],1.0,Y,1.0,0.505950250022579,201,silence,2023-11-18_18h18.42.046
175.21014404197922,,1.0,K,1.0,,201,silence,2023-11-18_18h18.42.046
177.30479837500025,,1.0,G,1.0,,201,silence,2023-11-18_18h18.42.046
179.39034966699546,['space'],1.0,G,1.0,0.49700425000628456,201,silence,2023-11-18_18h18.42.046
189.21988629200496,,1.0,V,2.0,,201,silence,2023-11-18_18h18.42.046
191.30168974999103,,1.0,L,2.0,,201,silence,2023-11-18_18h18.42.046
193.38898883399088,,1.0,B,2.0,,201,silence,2023-11-18_18h18.42.046
195.48232725000707,['space'],1.0,L,2.0,0.6118944169720635,201,silence,2023-11-18_18h18.42.046
197.56951529200887,,1.0,U,2.0,,201,silence,2023-11-18_18h18.42.046
199.6476737919729,,1.0,H,2.0,,201,silence,2023-11-18_18h18.42.046
201.7394169999752,,1.0,D,2.0,,201,silence,2023-11-18_18h18.42.046
203.83066812501056,,1.0,X,2.0,,201,silence,2023-11-18_18h18.42.046
205.9136902919854,['space'],1.0,D,2.0,0.4624103750102222,201,silence,2023-11-18_18h18.42.046
208.00600595900323,,1.0,L,2.0,,201,silence,2023-11-18_18h18.42.046
210.0970806250116,,1.0,O,2.0,,201,silence,2023-11-18_18h18.42.046
212.18927033396903,,1.0,W,2.0,,201,silence,2023-11-18_18h18.42.046
