thisRow.t,key_resp_2.keys,key_resp_2.corr,letter.routineEndVal,type.routineEndVal,key_resp_2.rt,participant,session,date
2.1758909999916796,None,1.0,Y,1.0,,104,brown,2023-11-07_13h23.30.456
4.259628416999476,['space'],1.0,Y,1.0,[0.5674374169902876],104,brown,2023-11-07_13h23.30.456
6.344430457989802,None,1.0,O,1.0,,104,brown,2023-11-07_13h23.30.456
8.432706166990101,None,1.0,Q,1.0,,104,brown,2023-11-07_13h23.30.456
10.52623516699532,['space'],1.0,Q,1.0,[0.4988597920018947],104,brown,2023-11-07_13h23.30.456
12.60951075000048,['space'],1.0,Q,1.0,[0.48138229199685156],104,brown,2023-11-07_13h23.30.456
14.699145832986687,None,1.0,V,1.0,,104,brown,2023-11-07_13h23.30.456
16.79215770799783,None,1.0,N,1.0,,104,brown,2023-11-07_13h23.30.456
18.88451237499248,['space'],1.0,N,1.0,[0.4177790410030866],104,brown,2023-11-07_13h23.30.456
20.9674215829873,None,1.0,Q,1.0,,104,brown,2023-11-07_13h23.30.456
23.05460524999944,['space'],1.0,Q,1.0,[0.37291749998985324],104,brown,2023-11-07_13h23.30.456
25.168056874987087,None,1.0,F,1.0,,104,brown,2023-11-07_13h23.30.456
29.74358999999822,None,1.0,X,2.0,,104,brown,2023-11-07_13h23.30.456
31.8345402499981,None,1.0,X,2.0,,104,brown,2023-11-07_13h23.30.456
33.912178749989835,None,1.0,W,2.0,,104,brown,2023-11-07_13h23.30.456
36.009475791986915,None,1.0,I,2.0,,104,brown,2023-11-07_13h23.30.456
38.1098698329879,None,1.0,C,2.0,,104,brown,2023-11-07_13h23.30.456
40.178187457990134,None,1.0,D,2.0,,104,brown,2023-11-07_13h23.30.456
42.261692666987074,None,1.0,P,2.0,,104,brown,2023-11-07_13h23.30.456
44.35132608299318,None,1.0,Q,2.0,,104,brown,2023-11-07_13h23.30.456
46.43195729199215,None,1.0,E,2.0,,104,brown,2023-11-07_13h23.30.456
48.516655749990605,None,1.0,Y,2.0,,104,brown,2023-11-07_13h23.30.456
50.60961595799017,None,1.0,Y,2.0,,104,brown,2023-11-07_13h23.30.456
52.700058041999,None,1.0,C,2.0,,104,brown,2023-11-07_13h23.30.456
55.93615354198846,None,1.0,V,2.0,,104,brown,2023-11-07_13h23.30.456
58.01866808299383,None,1.0,P,2.0,,104,brown,2023-11-07_13h23.30.456
60.10902916699706,None,1.0,U,2.0,,104,brown,2023-11-07_13h23.30.456
62.19907983299345,None,1.0,H,2.0,,104,brown,2023-11-07_13h23.30.456
64.2847395419958,None,1.0,B,2.0,,104,brown,2023-11-07_13h23.30.456
66.36678391699388,None,1.0,E,2.0,,104,brown,2023-11-07_13h23.30.456
68.4543837079982,None,1.0,R,2.0,,104,brown,2023-11-07_13h23.30.456
70.55041074998735,None,1.0,Q,2.0,,104,brown,2023-11-07_13h23.30.456
72.64308866699866,None,1.0,L,2.0,,104,brown,2023-11-07_13h23.30.456
74.72812062498997,None,1.0,A,2.0,,104,brown,2023-11-07_13h23.30.456
76.81818229198689,None,1.0,Z,2.0,,104,brown,2023-11-07_13h23.30.456
78.90418162499554,None,1.0,Y,2.0,,104,brown,2023-11-07_13h23.30.456
81.70784679199278,None,1.0,H,1.0,,104,brown,2023-11-07_13h23.30.456
83.79617712499748,None,1.0,V,1.0,,104,brown,2023-11-07_13h23.30.456
85.9056239999918,None,1.0,S,1.0,,104,brown,2023-11-07_13h23.30.456
87.97930312500102,None,1.0,I,1.0,,104,brown,2023-11-07_13h23.30.456
90.0806177919876,None,1.0,J,1.0,,104,brown,2023-11-07_13h23.30.456
92.1556799999962,None,1.0,C,1.0,,104,brown,2023-11-07_13h23.30.456
94.23751016698952,None,1.0,J,1.0,,104,brown,2023-11-07_13h23.30.456
96.32167974999174,None,1.0,O,1.0,,104,brown,2023-11-07_13h23.30.456
98.43484558298952,None,1.0,T,1.0,,104,brown,2023-11-07_13h23.30.456
100.51401537499623,None,1.0,H,1.0,,104,brown,2023-11-07_13h23.30.456
102.59547212498728,None,1.0,D,1.0,,104,brown,2023-11-07_13h23.30.456
104.6784958329954,None,1.0,X,1.0,,104,brown,2023-11-07_13h23.30.456
107.40370554199036,None,1.0,P,1.0,,104,brown,2023-11-07_13h23.30.456
109.48383645799186,None,1.0,U,1.0,,104,brown,2023-11-07_13h23.30.456
111.57619870798952,None,1.0,J,1.0,,104,brown,2023-11-07_13h23.30.456
113.66851016700092,None,1.0,S,1.0,,104,brown,2023-11-07_13h23.30.456
115.75563083299494,None,1.0,T,1.0,,104,brown,2023-11-07_13h23.30.456
117.83899337500044,['space'],1.0,T,1.0,[0.8763146249984857],104,brown,2023-11-07_13h23.30.456
119.91770870798791,None,1.0,Q,1.0,,104,brown,2023-11-07_13h23.30.456
122.008654958001,None,1.0,V,1.0,,104,brown,2023-11-07_13h23.30.456
124.10058008298802,None,1.0,O,1.0,,104,brown,2023-11-07_13h23.30.456
126.19389870799203,None,1.0,K,1.0,,104,brown,2023-11-07_13h23.30.456
128.27518633299042,None,1.0,W,1.0,,104,brown,2023-11-07_13h23.30.456
130.35902687499765,None,1.0,S,1.0,,104,brown,2023-11-07_13h23.30.456
134.82006187499792,None,1.0,L,2.0,,104,brown,2023-11-07_13h23.30.456
136.90037099999608,None,1.0,V,2.0,,104,brown,2023-11-07_13h23.30.456
139.01000587499584,None,1.0,G,2.0,,104,brown,2023-11-07_13h23.30.456
141.07738637499278,None,1.0,M,2.0,,104,brown,2023-11-07_13h23.30.456
143.1587933749979,None,1.0,H,2.0,,104,brown,2023-11-07_13h23.30.456
145.24234720799723,None,1.0,I,2.0,,104,brown,2023-11-07_13h23.30.456
147.3265339579957,None,1.0,I,2.0,,104,brown,2023-11-07_13h23.30.456
149.40658766699198,['space'],1.0,I,2.0,[0.4034959160053404],104,brown,2023-11-07_13h23.30.456
151.49235399998724,None,1.0,F,2.0,,104,brown,2023-11-07_13h23.30.456
153.5835692499968,None,1.0,T,2.0,,104,brown,2023-11-07_13h23.30.456
155.67663383299077,None,1.0,D,2.0,,104,brown,2023-11-07_13h23.30.456
157.75856558298983,None,1.0,E,2.0,,104,brown,2023-11-07_13h23.30.456
161.1280321249942,None,1.0,A,1.0,,104,brown,2023-11-07_13h23.30.456
163.21170920800068,None,1.0,M,1.0,,104,brown,2023-11-07_13h23.30.456
165.30043204200047,None,1.0,R,1.0,,104,brown,2023-11-07_13h23.30.456
167.38374812499387,None,1.0,K,1.0,,104,brown,2023-11-07_13h23.30.456
169.47674754199397,None,1.0,O,1.0,,104,brown,2023-11-07_13h23.30.456
171.5678079169884,None,1.0,J,1.0,,104,brown,2023-11-07_13h23.30.456
173.65992166700016,None,1.0,U,1.0,,104,brown,2023-11-07_13h23.30.456
175.7422208749922,None,1.0,F,1.0,,104,brown,2023-11-07_13h23.30.456
177.82525966699177,None,1.0,E,1.0,,104,brown,2023-11-07_13h23.30.456
179.9183882919897,None,1.0,N,1.0,,104,brown,2023-11-07_13h23.30.456
181.99669387500035,None,1.0,W,1.0,,104,brown,2023-11-07_13h23.30.456
184.0794484999933,None,1.0,I,1.0,,104,brown,2023-11-07_13h23.30.456
190.67119545799503,None,1.0,E,2.0,,104,brown,2023-11-07_13h23.30.456
192.75891091699305,None,1.0,R,2.0,,104,brown,2023-11-07_13h23.30.456
