participant,session,rt
200,brown,0.5973216398401306
200,pink,0.663236399118502
200,silence,0.6898299633017317
201,brown,0.5752961668164331
201,pink,0.6262942463269129
201,silence,0.6910803402158004
202,brown,0.6318336377250185
202,pink,0.6589943374507129
202,silence,0.7060210196171229
203,brown,0.5489698138200245
203,pink,0.48056910662489827
203,silence,0.5611804646905512
204,brown,0.7649051823777725
204,pink,0.80633389466675
204,silence,0.7133850281500012
301,brown,0.5837296466666809
301,pink,0.5427630864864839
301,silence,0.5560755142857358
302,brown,0.6568065027028285
302,pink,0.6680802354841299
302,silence,0.6708499333332535
303,brown,0.657169800001253
303,pink,0.6393144076916938
303,silence,0.6554002540521922
304,brown,0.5808098575767927
304,pink,0.5874685750027311
304,silence,0.49484318485007284
305,brown,0.6476830805566149
305,pink,0.5764009633329503
305,silence,0.6158197281238245
306,brown,0.5290215309522908
306,pink,0.5282367999996709
306,silence,0.5920461361112959
307,brown,0.5143169971415773
307,pink,0.5473913970593404
307,silence,0.5187785647071638
364109,brown,0.4164733399999932
364109,pink,0.4644590461538463
364109,silence,0.46495010571425804
